category,q,category_label,sub_category_label,chart_label
Sources Of Vape (cont'd),Getting Vape: Other source not listed here,Percentage reporting source for vape,(Reported by students indicating electronic vapor product use in the past 12 months),Other source not listed here
Suicide Risk,Attempted suicide,Percentage,Suicide risk,Attempted suicide
Suicide Risk,Needed medical treatment for suicide attempt (only those who reported attempt),Percentage,Suicide risk,Needed medical treatment for suicide attempt (only those who reported attempt)
Suicide Risk,Planned suicide,Percentage,Suicide risk,Planned suicide
Suicide Risk,Seriously considered suicide,Percentage,Suicide risk,Seriously considered suicide
Suicide Risk,So sad stopped doing usual activities,Percentage,Suicide risk,So sad stopped doing usual activities
Tobacco - Lifetime  And 30-Day Use,Chewing Tobacco Lifetime,Percentage indicating use,Lifetime use,Smokeless tobacco\n(Lifetime use)
Tobacco - Lifetime  And 30-Day Use,Chewing Tobacco Past 30 Days,Percentage indicating use,30-day use,Smokeless tobacco\n(30-day use)
Tobacco - Lifetime  And 30-Day Use,Cigarettes Lifetime,Percentage indicating use,Lifetime use,Cigarettes\n(Lifetime use)
Tobacco - Lifetime  And 30-Day Use,Cigarettes Past 30 Days,Percentage indicating use,30-day use,Cigarettes\n(30-day use)
Types Of Gambling,Past Year Gambling: Bet/gambled in some other way,Percentage reporting 1 or more times in the past 12 months,Types of gambling,Bet/gambled in some other way
Types Of Gambling,"Past Year Gambling: Games such as poker, card games, dice, pool, darts",Percentage reporting 1 or more times in the past 12 months,Types of gambling,"Games such as poker, card games, dice, pool, darts"
Types Of Gambling,"Past Year Gambling: Lottery (scratch cards, numbers, etc.)",Percentage reporting 1 or more times in the past 12 months,Types of gambling,"Lottery (scratch cards, numbers, etc.)"
Types Of Gambling,Past Year Gambling: Online (Internet) gambling,Percentage reporting 1 or more times in the past 12 months,Types of gambling,Online (Internet) gambling
Types Of Gambling,"Past Year Gambling: Sporting events, sports pools, or fantasy sports",Percentage reporting 1 or more times in the past 12 months,Types of gambling,"Sporting events, sports pools, or fantasy sports"
Types Of Gambling,Past Year Gambling: Video games or online gaming,Percentage reporting 1 or more times in the past 12 months,Types of gambling,Video games or online gaming
Vaping Substances,Vaping Substances: I don't know,Percentage indicating vaping substance,(Reported by students indicating electronic vaping product use in the past year),I don't know
Vaping Substances,Vaping Substances: Just flavoring,Percentage indicating vaping substance,(Reported by students indicating electronic vaping product use in the past year),Just flavoring
Vaping Substances,Vaping Substances: Marijuana or THC,Percentage indicating vaping substance,(Reported by students indicating electronic vaping product use in the past year),Marijuana or THC
Vaping Substances,Vaping Substances: Nicotine,Percentage indicating vaping substance,(Reported by students indicating electronic vaping product use in the past year),Nicotine
Vaping Substances,Vaping Substances: Other substance,Percentage indicating vaping substance,(Reported by students indicating electronic vaping product use in the past year),Other substance
Violence And Drugs On School Property,Attacked at School,Percentage reporting 1 or more times,Violence and drugs on school property,Attacked at school
Violence And Drugs On School Property,Brought Weapon to School,Percentage reporting 1 or more times,Violence and drugs on school property,Brought weapon to school
Violence And Drugs On School Property,Offered Drugs at School,Percentage reporting 1 or more times,Violence and drugs on school property,Offered alcohol/ tobacco/ drugs at school
Violence And Drugs On School Property,Threatened at School,Percentage reporting 1 or more times,Violence and drugs on school property,Threatened at school
Willingness To Use Substances,Willing to Try Alcohol,Percentage,(Students indicating “Would like to try or use”/”Would use any chance I got”),Willing to try alcohol before you are 21
Willingness To Use Substances,Willing to Try Marijuana,Percentage,(Students indicating “Would like to try or use”/”Would use any chance I got”),Willing to try marijuana before you are 21
